subregion1_code,date,type,new_confirmed_pred
ND,2021-11-29,forecast,2783.4394446970637
ND,2021-11-30,forecast,2783.4394446970637
ND,2021-12-01,forecast,2783.4394446970637
ND,2021-12-02,forecast,2783.4394446970637
ND,2021-12-03,forecast,2783.4394446970637
NE,2021-10-16,prediction,4690.2309825879875
NE,2021-10-17,prediction,4690.2309825879875
NE,2021-10-18,prediction,4690.2309825879875
NE,2021-10-19,prediction,4690.2309825879875
NE,2021-10-20,prediction,4690.2309825879875
NE,2021-10-21,prediction,4731.414094011025
NE,2021-10-22,prediction,4826.913952868211
NE,2021-10-23,prediction,4690.2309825879875
NE,2021-10-24,prediction,4690.2309825879875
NE,2021-10-25,prediction,4690.2309825879875
NE,2021-10-26,prediction,6474.356871848685
NE,2021-10-27,prediction,4690.2309825879875
NE,2021-10-28,prediction,4690.2309825879875
NE,2021-10-29,prediction,4679.995262918431
NE,2021-10-30,prediction,4690.2309825879875
NE,2021-10-31,prediction,4690.2309825879875
NE,2021-11-01,prediction,4690.2309825879875
NE,2021-11-02,prediction,4690.2309825879875
NE,2021-11-03,prediction,4679.995262918431
NE,2021-11-04,prediction,4690.2309825879875
NE,2021-11-05,prediction,4690.2309825879875
NE,2021-11-06,forecast,4690.2309825879875
NE,2021-11-07,forecast,4690.2309825879875
NE,2021-11-08,forecast,4690.2309825879875
NE,2021-11-09,forecast,4690.2309825879875
NE,2021-11-10,forecast,4690.2309825879875
NE,2021-11-11,forecast,4690.2309825879875
NE,2021-11-12,forecast,4690.2309825879875
NE,2021-11-13,forecast,6729.773735440483
NE,2021-11-14,forecast,4690.2309825879875
NE,2021-11-15,forecast,4690.2309825879875
NE,2021-11-16,forecast,4690.2309825879875
NE,2021-11-17,forecast,6729.773735440483
NE,2021-11-18,forecast,4690.2309825879875
NE,2021-11-19,forecast,4690.2309825879875
NE,2021-11-20,forecast,4679.995262918431
NE,2021-11-21,forecast,4690.2309825879875
NE,2021-11-22,forecast,4690.2309825879875
NE,2021-11-23,forecast,4690.2309825879875
NE,2021-11-24,forecast,4690.2309825879875
NE,2021-11-25,forecast,6719.538015770926
NE,2021-11-26,forecast,4690.2309825879875
NE,2021-11-27,forecast,4690.2309825879875
NE,2021-11-28,forecast,4690.2309825879875
NE,2021-11-29,forecast,4690.2309825879875
NE,2021-11-30,forecast,4690.2309825879875
NE,2021-12-01,forecast,4690.2309825879875
NE,2021-12-02,forecast,4690.2309825879875
NE,2021-12-03,forecast,4690.2309825879875
ID,2021-10-16,prediction,4690.2309825879875
ID,2021-10-17,prediction,4690.2309825879875
ID,2021-10-18,prediction,4690.2309825879875
ID,2021-10-19,prediction,4690.2309825879875
ID,2021-10-20,prediction,4690.2309825879875
ID,2021-10-21,prediction,4690.2309825879875
ID,2021-10-22,prediction,4690.2309825879875
ID,2021-10-23,prediction,4690.2309825879875
ID,2021-10-24,prediction,4690.2309825879875
ID,2021-10-25,prediction,4690.2309825879875
ID,2021-10-26,prediction,4690.2309825879875
ID,2021-10-27,prediction,4690.2309825879875
ID,2021-10-28,prediction,4690.2309825879875
ID,2021-10-29,prediction,4690.2309825879875
ID,2021-10-30,prediction,4723.113405143248
ID,2021-10-31,prediction,4690.2309825879875
ID,2021-11-01,prediction,4690.2309825879875
ID,2021-11-02,prediction,4690.2309825879875
ID,2021-11-03,prediction,4690.2309825879875
ID,2021-11-04,prediction,4690.2309825879875
ID,2021-11-05,prediction,4690.2309825879875
ID,2021-11-06,forecast,4690.2309825879875
ID,2021-11-07,forecast,4690.2309825879875
ID,2021-11-08,forecast,4690.2309825879875
ID,2021-11-09,forecast,4690.2309825879875
ID,2021-11-10,forecast,4690.2309825879875
ID,2021-11-11,forecast,4690.2309825879875
ID,2021-11-12,forecast,4690.2309825879875
ID,2021-11-13,forecast,4690.2309825879875
ID,2021-11-14,forecast,4690.2309825879875
ID,2021-11-15,forecast,4690.2309825879875
ID,2021-11-16,forecast,4690.2309825879875
ID,2021-11-17,forecast,4690.2309825879875
ID,2021-11-18,forecast,4723.113405143248
ID,2021-11-19,forecast,4690.2309825879875
ID,2021-11-20,forecast,4690.2309825879875
ID,2021-11-21,forecast,4690.2309825879875
ID,2021-11-22,forecast,4690.2309825879875
ID,2021-11-23,forecast,4690.2309825879875
ID,2021-11-24,forecast,4690.2309825879875
ID,2021-11-25,forecast,4723.113405143248
