subregion1_code,date,type,new_confirmed_pred
KS,2021-10-28,prediction,2594.361
KS,2021-10-29,prediction,2121.045
KS,2021-10-30,prediction,2169.3003
KS,2021-10-31,prediction,2824.1328
KS,2021-11-01,prediction,3027.766
KS,2021-11-02,prediction,4058.841
KS,2021-11-03,prediction,3065.93
KS,2021-11-04,prediction,3721.2627
KS,2021-11-05,prediction,2979.019
KS,2021-11-06,forecast,2506.618
KS,2021-11-07,forecast,3099.93
KS,2021-11-08,forecast,2755.9211
KS,2021-11-09,forecast,2951.9473
KS,2021-11-10,forecast,2998.2224
KS,2021-11-11,forecast,3141.3281
KS,2021-11-12,forecast,2835.962
KS,2021-11-13,forecast,3283.3625
KS,2021-11-14,forecast,2420.5168
KS,2021-11-15,forecast,3032.9343
KS,2021-11-16,forecast,2200.9443
KS,2021-11-17,forecast,2333.7017
KS,2021-11-18,forecast,2212.629
KS,2021-11-19,forecast,2629.4343
KS,2021-11-20,forecast,2239.4575
KS,2021-11-21,forecast,2390.7395
KS,2021-11-22,forecast,2666.6797
KS,2021-11-23,forecast,3257.2969
KS,2021-11-24,forecast,3292.1006
KS,2021-11-25,forecast,2523.6106
KS,2021-11-26,forecast,3042.8972
KS,2021-11-27,forecast,1824.2181
KS,2021-11-28,forecast,2424.4287
KS,2021-11-29,forecast,2678.3354
KS,2021-11-30,forecast,2509.485
KS,2021-12-01,forecast,3208.9707
KS,2021-12-02,forecast,2440.4258
KS,2021-12-03,forecast,2378.5396
LA,2021-10-16,prediction,1784.2335
LA,2021-10-17,prediction,1617.6813
LA,2021-10-18,prediction,1576.748
LA,2021-10-19,prediction,1631.7238
LA,2021-10-20,prediction,1976.8699
LA,2021-10-21,prediction,1496.0609
LA,2021-10-22,prediction,1700.8333
LA,2021-10-23,prediction,1290.3564
LA,2021-10-24,prediction,1432.5991
LA,2021-10-25,prediction,2040.4224
LA,2021-10-26,prediction,2756.124
LA,2021-10-27,prediction,2605.1162
LA,2021-10-28,prediction,2427.472
LA,2021-10-29,prediction,2260.8882
LA,2021-10-30,prediction,1540.7479
LA,2021-10-31,prediction,2085.1606
LA,2021-11-01,prediction,3038.5625
LA,2021-11-02,prediction,2810.092
LA,2021-11-03,prediction,3128.3237
LA,2021-11-04,prediction,3763.4817
LA,2021-11-05,prediction,1879.5906
LA,2021-11-06,forecast,1798.2778
LA,2021-11-07,forecast,1870.8134
LA,2021-11-08,forecast,1488.6606
LA,2021-11-09,forecast,1494.5157
LA,2021-11-10,forecast,1822.986
LA,2021-11-11,forecast,1572.4398
LA,2021-11-12,forecast,1327.009
LA,2021-11-13,forecast,1524.8472
LA,2021-11-14,forecast,2105.7056
LA,2021-11-15,forecast,2275.703
LA,2021-11-16,forecast,2386.9004
LA,2021-11-17,forecast,2571.6924
LA,2021-11-18,forecast,2194.6316
LA,2021-11-19,forecast,1809.9891
LA,2021-11-20,forecast,2111.0447
LA,2021-11-21,forecast,3550.3804
LA,2021-11-22,forecast,3708.5269
LA,2021-11-23,forecast,3297.636
LA,2021-11-24,forecast,4360.941
LA,2021-11-25,forecast,2225.995
LA,2021-11-26,forecast,2219.043
LA,2021-11-27,forecast,1859.1624
LA,2021-11-28,forecast,1762.7391
LA,2021-11-29,forecast,2119.4756
LA,2021-11-30,forecast,2152.3098
LA,2021-12-01,forecast,1675.0714
LA,2021-12-02,forecast,1324.9845
LA,2021-12-03,forecast,1600.5868
MA,2021-10-16,prediction,3920.6677
MA,2021-10-17,prediction,3232.3435
MA,2021-10-18,prediction,3062.6375
MA,2021-10-19,prediction,3823.8262
MA,2021-10-20,prediction,5669.767
MA,2021-10-21,prediction,3778.9539
MA,2021-10-22,prediction,4466.1084
MA,2021-10-23,prediction,3238.2632
MA,2021-10-24,prediction,4341.874
MA,2021-10-25,prediction,3543.0427
MA,2021-10-26,prediction,3702.826
MA,2021-10-27,prediction,4628.029
MA,2021-10-28,prediction,5206.4805
MA,2021-10-29,prediction,5235.41
MA,2021-10-30,prediction,3569.927
MA,2021-10-31,prediction,4198.386
MA,2021-11-01,prediction,3924.447
MA,2021-11-02,prediction,3753.5732
MA,2021-11-03,prediction,5785.4194
MA,2021-11-04,prediction,4834.207
MA,2021-11-05,prediction,4503.8516
MA,2021-11-06,forecast,4485.4863
MA,2021-11-07,forecast,4376.964
MA,2021-11-08,forecast,4015.1455
MA,2021-11-09,forecast,4504.5703
MA,2021-11-10,forecast,4577.3794
MA,2021-11-11,forecast,5025.386
MA,2021-11-12,forecast,4331.5605
MA,2021-11-13,forecast,5031.1216
MA,2021-11-14,forecast,3811.597
MA,2021-11-15,forecast,5021.0195
MA,2021-11-16,forecast,3598.8328
MA,2021-11-17,forecast,4515.948
MA,2021-11-18,forecast,5529.5894
MA,2021-11-19,forecast,5683.8965
MA,2021-11-20,forecast,4737.864
MA,2021-11-21,forecast,4148.3726
MA,2021-11-22,forecast,5104.317
MA,2021-11-23,forecast,5174.9424
MA,2021-11-24,forecast,5617.118
MA,2021-11-25,forecast,6125.361
MA,2021-11-26,forecast,4504.3867
MA,2021-11-27,forecast,4601.648
MA,2021-11-28,forecast,4686.6084
MA,2021-11-29,forecast,4611.759
MA,2021-11-30,forecast,5737.987
MA,2021-12-01,forecast,4583.513
MA,2021-12-02,forecast,3777.5923
MA,2021-12-03,forecast,5233.448
MD,2021-10-16,prediction,2531.3518
MD,2021-10-17,prediction,2694.8247
MD,2021-10-18,prediction,2262.1265
MD,2021-10-19,prediction,2477.2827
MD,2021-10-20,prediction,2781.756
MD,2021-10-21,prediction,2476.4355
MD,2021-10-22,prediction,3210.084
MD,2021-10-23,prediction,2693.623
MD,2021-10-24,prediction,2404.17
MD,2021-10-25,prediction,2736.1438
MD,2021-10-26,prediction,3591.0703
MD,2021-10-27,prediction,3304.1409
MD,2021-10-28,prediction,2666.0164
MD,2021-10-29,prediction,2995.207
MD,2021-10-30,prediction,2129.8838
MD,2021-10-31,prediction,2280.4583
MD,2021-11-01,prediction,1782.3484
MD,2021-11-02,prediction,1932.3481
MD,2021-11-03,prediction,2174.8389
MD,2021-11-04,prediction,2217.884
MD,2021-11-05,prediction,2641.0747
MD,2021-11-06,forecast,3306.6548
MD,2021-11-07,forecast,3278.61
MD,2021-11-08,forecast,2796.5356
MD,2021-11-09,forecast,2631.753
MD,2021-11-10,forecast,2868.9058
MD,2021-11-11,forecast,2654.1487
MD,2021-11-12,forecast,3533.1516
MD,2021-11-13,forecast,3031.6511
MD,2021-11-14,forecast,2585.4412
MD,2021-11-15,forecast,2921.78
MD,2021-11-16,forecast,3083.1611
MD,2021-11-17,forecast,3317.0852
MD,2021-11-18,forecast,3465.4246
MD,2021-11-19,forecast,3938.14
MD,2021-11-20,forecast,2782.6924
MD,2021-11-21,forecast,2730.6428
MD,2021-11-22,forecast,2820.5427
MD,2021-11-23,forecast,2449.5693
MD,2021-11-24,forecast,3078.4487
MD,2021-11-25,forecast,3460.637
MD,2021-11-26,forecast,3041.2124
MD,2021-11-27,forecast,3193.8591
MD,2021-11-28,forecast,3917.844
MD,2021-11-29,forecast,3236.2048
MD,2021-11-30,forecast,3593.349
MD,2021-12-01,forecast,3451.9116
MD,2021-12-02,forecast,3720.8582
MD,2021-12-03,forecast,4136.7563
ME,2021-10-16,prediction,1108.7026
ME,2021-10-17,prediction,1155.8239
ME,2021-10-18,prediction,1041.954
ME,2021-10-19,prediction,917.7391
ME,2021-10-20,prediction,1096.1882
ME,2021-10-21,prediction,955.0289
ME,2021-10-22,prediction,1187.0066
ME,2021-10-23,prediction,1232.375
ME,2021-10-24,prediction,1125.1598
ME,2021-10-25,prediction,1102.0789
ME,2021-10-26,prediction,1012.3957
ME,2021-10-27,prediction,1296.2888
ME,2021-10-28,prediction,1167.8481
ME,2021-10-29,prediction,1160.3002
ME,2021-10-30,prediction,1179.4702
ME,2021-10-31,prediction,1162.3107
ME,2021-11-01,prediction,1326.4292
ME,2021-11-02,prediction,1003.6477
ME,2021-11-03,prediction,1145.9064
ME,2021-11-04,prediction,1165.3997
ME,2021-11-05,prediction,1047.5704
ME,2021-11-06,forecast,1161.4187
ME,2021-11-07,forecast,1155.7904
ME,2021-11-08,forecast,1208.4062
ME,2021-11-09,forecast,1238.829
ME,2021-11-10,forecast,1047.2909
ME,2021-11-11,forecast,1162.7666
ME,2021-11-12,forecast,1040.1008
ME,2021-11-13,forecast,1174.4055
ME,2021-11-14,forecast,1234.2245
ME,2021-11-15,forecast,1221.0159
ME,2021-11-16,forecast,1092.2026
ME,2021-11-17,forecast,1043.5233
ME,2021-11-18,forecast,1282.9126
ME,2021-11-19,forecast,1137.3727
ME,2021-11-20,forecast,1058.9316
ME,2021-11-21,forecast,1324.046
ME,2021-11-22,forecast,1265.2083
ME,2021-11-23,forecast,1338.187
ME,2021-11-24,forecast,1135.8563
ME,2021-11-25,forecast,1216.3628
ME,2021-11-26,forecast,1135.0872
ME,2021-11-27,forecast,1092.0894
ME,2021-11-28,forecast,1170.9976
ME,2021-11-29,forecast,1305.6857
ME,2021-11-30,forecast,1427.7809
ME,2021-12-01,forecast,1255.8031
ME,2021-12-02,forecast,1052.8547
ME,2021-12-03,forecast,1137.2257
MI,2021-10-16,prediction,9137.056
