subregion1_code,date,type,new_confirmed_pred
LA,2021-10-16,prediction,6742.336200000005
LA,2021-10-17,prediction,6749.3426000000045
LA,2021-10-18,prediction,6728.765000000006
LA,2021-10-19,prediction,6755.341800000005
LA,2021-10-20,prediction,6755.341800000005
LA,2021-10-21,prediction,6734.220000000006
LA,2021-10-22,prediction,6747.984600000004
LA,2021-10-23,prediction,6747.387600000005
LA,2021-10-24,prediction,6741.519200000005
LA,2021-10-25,prediction,6728.783800000006
LA,2021-10-26,prediction,6675.061400000005
LA,2021-10-27,prediction,6723.465200000005
LA,2021-10-28,prediction,6699.265800000005
LA,2021-10-29,prediction,6770.836400000005
LA,2021-10-30,prediction,6738.7230000000045
LA,2021-10-31,prediction,6740.473200000004
LA,2021-11-01,prediction,6749.871200000005
LA,2021-11-02,prediction,6732.559200000005
LA,2021-11-03,prediction,6693.184400000005
LA,2021-11-04,prediction,6738.580400000005
LA,2021-11-05,prediction,6741.519200000005
LA,2021-11-06,forecast,6746.870600000004
LA,2021-11-07,forecast,6743.2612000000045
LA,2021-11-08,forecast,6741.785800000005
LA,2021-11-09,forecast,6756.433800000004
LA,2021-11-10,forecast,6741.1142000000045
LA,2021-11-11,forecast,6749.076600000004
LA,2021-11-12,forecast,6772.331400000005
LA,2021-11-13,forecast,6733.610000000006
LA,2021-11-14,forecast,6739.679200000005
LA,2021-11-15,forecast,6667.732600000005
LA,2021-11-16,forecast,6693.184400000005
LA,2021-11-17,forecast,6745.286800000004
LA,2021-11-18,forecast,6779.355600000004
LA,2021-11-19,forecast,6739.701400000005
LA,2021-11-20,forecast,6741.1142000000045
LA,2021-11-21,forecast,6692.648600000005
LA,2021-11-22,forecast,6686.9366000000055
LA,2021-11-23,forecast,6708.717400000005
LA,2021-11-24,forecast,6730.226800000005
LA,2021-11-25,forecast,6737.543400000005
LA,2021-11-26,forecast,6746.158600000004
LA,2021-11-27,forecast,6743.2612000000045
LA,2021-11-28,forecast,6747.968200000005
LA,2021-11-29,forecast,6757.925400000005
LA,2021-11-30,forecast,6742.206200000005
LA,2021-12-01,forecast,6747.195600000005
LA,2021-12-02,forecast,6781.236600000005
LA,2021-12-03,forecast,6734.090000000006
MA,2021-10-16,prediction,4028.440400000001
MA,2021-10-17,prediction,4208.423400000001
MA,2021-10-18,prediction,4034.862400000001
MA,2021-10-19,prediction,4048.777400000001
MA,2021-10-20,prediction,4030.030400000001
MA,2021-10-21,prediction,4045.590400000001
MA,2021-10-22,prediction,4038.101400000001
MA,2021-10-23,prediction,4034.6984000000007
MA,2021-10-24,prediction,4033.953400000001
MA,2021-10-25,prediction,4048.4516000000012
MA,2021-10-26,prediction,4049.273400000001
MA,2021-10-27,prediction,4006.543400000001
MA,2021-10-28,prediction,3931.8524000000007
MA,2021-10-29,prediction,4007.980400000001
MA,2021-10-30,prediction,4200.040000000002
MA,2021-10-31,prediction,4030.4194000000007
MA,2021-11-01,prediction,4041.6964000000007
MA,2021-11-02,prediction,4048.9104000000007
MA,2021-11-03,prediction,4024.9142000000006
MA,2021-11-04,prediction,4012.4432000000006
MA,2021-11-05,prediction,4024.5534000000007
MA,2021-11-06,forecast,4029.3394000000008
MA,2021-11-07,forecast,4024.934400000001
MA,2021-11-08,forecast,4038.971400000001
MA,2021-11-09,forecast,4041.205600000001
MA,2021-11-10,forecast,4041.605400000001
MA,2021-11-11,forecast,4041.1914000000006
MA,2021-11-12,forecast,4056.7072000000007
MA,2021-11-13,forecast,4040.304400000001
MA,2021-11-14,forecast,4036.380400000001
MA,2021-11-15,forecast,4035.701400000001
MA,2021-11-16,forecast,4043.5464000000006
MA,2021-11-17,forecast,4047.780400000001
MA,2021-11-18,forecast,3998.9644000000008
MA,2021-11-19,forecast,3956.1674000000007
MA,2021-11-20,forecast,4185.028400000001
MA,2021-11-21,forecast,4031.344800000001
MA,2021-11-22,forecast,4038.5844000000006
MA,2021-11-23,forecast,4034.934400000001
MA,2021-11-24,forecast,4006.659400000001
MA,2021-11-25,forecast,3895.3732000000005
MA,2021-11-26,forecast,3933.2252000000008
MA,2021-11-27,forecast,3978.4754000000007
MA,2021-11-28,forecast,3956.5072000000005
MA,2021-11-29,forecast,3958.4292000000005
MA,2021-11-30,forecast,3946.2892000000006
MA,2021-12-01,forecast,3966.326400000001
MA,2021-12-02,forecast,3982.230400000001
MA,2021-12-03,forecast,3945.7942000000007
MD,2021-10-16,prediction,3553.548
MD,2021-10-17,prediction,3544.278
MD,2021-10-18,prediction,3560.087
MD,2021-10-19,prediction,3551.161
MD,2021-10-20,prediction,3538.731
MD,2021-10-21,prediction,3561.07
MD,2021-10-22,prediction,3559.938
MD,2021-10-23,prediction,3558.191
MD,2021-10-24,prediction,3560.221
MD,2021-10-25,prediction,3559.537
MD,2021-10-26,prediction,3551.057
MD,2021-10-27,prediction,3561.724
MD,2021-10-28,prediction,3557.987
MD,2021-10-29,prediction,3558.338
MD,2021-10-30,prediction,3555.197
MD,2021-10-31,prediction,3533.82
MD,2021-11-01,prediction,3559.871
MD,2021-11-02,prediction,3553.504
MD,2021-11-03,prediction,3557.197
MD,2021-11-04,prediction,3553.939
